,names,scores,logfoldchanges,pvals,pvals_adj
0,Fam132a,51.384716,2.9616957,8.660177854098123e-208,4.981045629082104e-205
1,Rhd,47.667564,3.3929844,4.37451091349172e-249,1.1126818012168062e-245
2,Ctse,47.04808,3.8179176,6.448460163528289e-249,1.1126818012168062e-245
3,Cpox,45.2881,2.975638,4.5239440847048986e-219,5.204043678772202e-216
4,Stard10,42.313526,3.033297,2.642379931225209e-214,2.279713285664549e-211
5,Cd24a,41.16046,3.3253183,1.5170284976799387e-213,1.0470530690986936e-210
6,Prdx2,40.785732,2.171304,2.78314434646085e-163,6.860450814025996e-161
7,Hmbs,39.697857,3.2589886,3.754367550957167e-204,1.850903202621883e-201
8,Sphk1,39.48756,3.1185598,1.7394461825533277e-200,7.503535969989417e-198
9,Tmem14c,39.39574,2.2461007,1.5577980086073516e-173,4.88723720700361e-171
10,Pla2g12a,37.957184,3.1264482,1.892839713382893e-192,7.25798872320485e-190
11,Ermap,37.530323,2.5264082,2.121381678701597e-174,7.32088817319921e-172
12,Glrx5,35.984318,2.234573,1.0896587161203572e-156,1.790672490157787e-154
13,Cldn13,35.85925,3.7724128,4.816307920758859e-170,1.2785445103491401e-167
14,Blvrb,35.619556,2.0283365,8.630409356146624e-145,9.60759441550387e-143
15,Erp29,34.93119,2.7396855,5.1751742971794096e-172,1.4882938749638453e-169
16,Mns1,34.76335,2.3690875,4.1404724368023475e-161,9.525846919603268e-159
17,Alad,34.495796,2.3208852,1.5055103310404563e-157,2.7344821854845337e-155
18,Fth1,34.249493,1.576127,4.347583997476964e-136,2.941865171626079e-134
19,Klf1,34.182083,1.9118574,1.1204992291502565e-141,1.0175902209993513e-139
20,Lmna,33.975845,3.8494117,1.497577758408393e-157,2.7344821854845337e-155
21,Car2,33.951042,1.5507481,2.3167848688634544e-129,1.142174940349683e-127
22,Ifrd2,33.554585,2.3781133,4.2570702736331776e-157,7.3455747571540475e-155
23,Phb2,33.488415,1.9258056,3.241154609476343e-139,2.542096490296105e-137
24,Cenp-a,33.21553,2.661019,8.290596961989094e-160,1.682991183283786e-157
25,E2f4,33.188858,2.6606116,1.8301155407418155e-160,3.947330456937503e-158
26,Ccne1,33.054565,3.658627,3.3895821042795747e-156,5.317021746304006e-154
27,Mthfd1,33.01391,2.2224338,5.991856256624167e-147,6.892631980536668e-145
28,Ap1b1,32.99732,2.3058197,1.2435545943027774e-153,1.788127877057869e-151
29,Mt2,32.847157,2.4616313,4.209063914570582e-143,4.272199873289141e-141
30,Cyc1,32.555866,2.170773,1.343406276047876e-144,1.448779705825381e-142
31,Add2,32.493362,3.3972085,2.5274033520514298e-152,3.488827587171794e-150
32,Ubac1,32.47607,3.119114,1.737056942050977e-155,2.6063406552251834e-153
33,Ndufb9,32.4139,1.9751357,1.4247319444209217e-139,1.1706547476658573e-137
34,Dut,32.413437,2.1154246,2.1483423196308183e-141,1.9010075243707573e-139
35,Ftl1,32.024883,1.2895103,2.6979585637706733e-129,1.3113598596581117e-127
36,Atp5g3,31.929586,1.83416,7.1930407073658535e-130,3.8189513047876247e-128
37,Cox6a1,31.835794,1.6627859,1.3375526745115836e-123,4.858836083936289e-122
38,Ddx39,31.815905,2.669229,1.0673924044254605e-151,1.416758149104717e-149
39,Ppp2r4,31.814114,2.0310109,4.37691885136812e-139,3.356610434682529e-137
40,Sod1,31.568138,1.5554664,1.488544995662364e-123,5.295844103124554e-122
41,Mcm5,31.532513,2.0689197,2.9223818181298926e-134,1.8676184545122702e-132
42,Cited4,31.506617,3.5641668,1.8817265333188215e-143,1.967829777722198e-141
43,Nudt9,31.491137,2.847769,9.524371558782375e-150,1.2173557870132584e-147
44,Isg20,31.461826,2.8811963,5.8973411882812335e-149,7.26847301455662e-147
45,Phf5a,31.438416,2.1737235,1.1381810160782647e-142,1.0615845098611058e-140
46,Pdap1,31.333868,2.4865031,1.3932529488994227e-147,1.6579710091903132e-145
47,Nme1,31.04471,1.8198559,1.1996349871835411e-126,5.307615821500513e-125
48,Cct7,31.005936,1.7139037,2.383930141684188e-128,1.1269784820482373e-126
49,Ran,30.949598,1.9879605,9.446274922550821e-134,5.821266921021943e-132
50,Ppm1g,30.792665,2.1300037,3.272057767686187e-138,2.4025258204861766e-136
51,Bsg,30.706871,2.1518302,2.0353566465734638e-139,1.633492043563959e-137
52,Slc29a1,30.690208,3.1272297,5.58017779558965e-143,5.502055306451395e-141
53,Mcm7,30.660664,2.068942,7.728273309159576e-134,4.849140216347218e-132
54,Mdh2,30.591995,1.8903269,1.1002118671170252e-129,5.666912169284857e-128
55,Atp5a1,30.520422,1.4654679,9.496069020023664e-124,3.4862695944789003e-122
56,Eif3g,30.517742,1.862615,9.553997042566782e-130,4.995582393014843e-128
57,Phf10,30.470638,2.830758,1.1125457259888518e-142,1.0615845098611058e-140
58,Tspan33,30.390387,3.10865,2.359190146015088e-140,2.0353912984745173e-138
59,Urod,30.23482,2.174895,8.53154849569022e-139,6.400516056223249e-137
60,Snrpb,30.204596,1.6910377,1.9600988651698784e-122,6.3814162110389155e-121
61,Tubb5,30.196518,1.5415305,1.2614975563807442e-117,3.2247615311629245e-116
62,Ssrp1,30.191933,2.0303347,2.2343572399908793e-136,1.542153367041705e-134
63,Hspd1,30.04508,2.1143134,1.8512793481973725e-134,1.2054273642696476e-132
64,Hars,30.04281,2.694812,4.355033966379078e-140,3.665663955603463e-138
65,Ank1,29.999062,3.5287502,1.83756571723954e-133,1.1125332088059038e-131
66,Psmc3,29.958548,2.0033658,5.4591491842483985e-133,3.2481937646277974e-131
67,Psmb4,29.944824,1.9081128,1.2445738802907927e-129,6.316212442475773e-128
68,Eef2,29.91909,0.82701176,2.40447016156766e-116,5.644779950727888e-115
69,Hdgf,29.885035,1.6191725,1.0142665664026817e-120,3.1533638924825716e-119
70,Atp5b,29.855768,1.2760497,2.819556613920778e-115,6.2776063707358746e-114
71,Mrpl18,29.824266,2.1529539,1.3112769760564187e-134,8.702340085328271e-133
72,C1qbp,29.817625,1.9232749,1.4747052907487013e-129,7.375663707788069e-128
73,Vars,29.787252,2.07979,1.0390403739902615e-131,6.077505645153207e-130
74,Cdca3,29.718498,3.0210295,3.3764008755755205e-137,2.4274915461689837e-135
75,Slc25a3,29.714949,1.4105468,4.553439423588879e-117,1.1144623723975335e-115
76,Hpn,29.673992,4.9935584,4.549701320588065e-121,1.427365387031765e-119
77,Gnb2l1,29.609648,0.6292308,1.7583857535260814e-115,3.966136755175495e-114
78,Epor,29.596762,2.655582,4.452092885766324e-137,3.135545418118283e-135
79,Txn2,29.587124,1.948474,6.435022935366866e-130,3.469885023429852e-128
80,Anp32b,29.512062,1.8318565,1.2221289568263873e-127,5.6234227066771504e-126
81,Csda,29.468983,1.5030582,2.184895777116796e-115,4.8961528096299104e-114
82,Ranbp1,29.422695,1.8276407,1.1416061091514587e-125,4.863805781088499e-124
83,Atp5d,29.371944,1.5799899,9.265143493132763e-119,2.5785492092581584e-117
84,Lsm4,29.31832,1.9615217,4.302844587654404e-128,2.0066373881074797e-126
85,Prpf8,29.305824,1.9060782,6.294506011673248e-127,2.821083148868101e-125
86,Ybx1,29.2462,1.4484317,1.458773844326263e-113,3.051047598042384e-112
87,Uqcr,29.237839,1.9571437,3.7156589703156503e-125,1.544908326091483e-123
88,Tuba1b,29.233812,1.6749578,1.170318481530544e-113,2.4626640730255534e-112
89,Necap2,29.220013,2.1639678,4.142181242264457e-131,2.34338810935322e-129
90,hnRNP A2/B1,29.172474,1.3419906,3.667969079069713e-112,7.19213709765317e-111
91,Cct6a,29.061567,1.8010991,2.3834757613411813e-124,9.24199421616676e-123
92,Epn1,28.96841,2.2504554,4.105537387261531e-130,2.2489221465777053e-128
93,Cdk4,28.963404,1.6095521,5.8935557003503285e-115,1.2872570077157585e-113
94,Cox4i1,28.922213,1.3701534,1.8928145820818187e-112,3.775782151886911e-111
95,Tk1,28.918856,3.0479689,3.739123250143071e-131,2.150619056040623e-129
96,Birc5,28.832954,3.0617468,3.379627817963098e-130,1.881144451579137e-128
97,Taldo1,28.735699,1.5177587,4.739850475648141e-115,1.0418614007300467e-113
98,Rps27l,28.730642,1.9342161,3.072117877966394e-122,9.908297940992547e-121
99,Chchd2,28.69897,1.4191544,2.9578604102583503e-114,6.300973009754053e-113
100,Eif4ebp1,28.696241,2.011992,2.442434220490557e-125,1.0279073774284039e-123
101,Dek,28.627516,2.181748,2.129978671841516e-128,1.0209106106284822e-126
102,Fkbp4,28.607004,1.6413282,1.803935341123231e-117,4.577485928100199e-116
103,Psmd7,28.47361,1.9900926,1.370228451936168e-123,4.925685820449704e-122
104,Hemgn,28.444004,3.090566,3.1113575204553797e-127,1.4128019477751994e-125
105,Pa2g4,28.408276,1.7011663,2.3017551670868682e-117,5.798070862494002e-116
106,Setd8,28.388893,1.9840256,4.750422252107415e-125,1.9286714343556107e-123
107,Actb,28.323761,0.6821066,6.89006374337917e-112,1.32835809935204e-110
108,Rangap1,28.29668,2.1897821,1.7114293997506682e-126,7.476130200682982e-125
109,Tnfaip2,28.295097,1.9556857,4.1916541002635006e-123,1.446539830000934e-121
110,Hsp90ab1,28.278536,0.83508885,2.8328272309588554e-108,4.839646917841094e-107
111,Nolc1,28.26119,1.7890166,6.872616956137938e-119,1.9282439931408153e-117
112,Ak2,28.251614,1.9342935,1.3492508502998294e-120,4.120588216269656e-119
113,Mknk2,28.242605,2.1087403,1.8863760580850464e-126,8.137354720564369e-125
114,St3gal5,28.22338,3.4660938,4.007767918961013e-122,1.280630285956894e-120
115,Atp5o,28.12162,2.0639863,3.073104361615396e-123,1.0821717501974216e-121
116,Atp5f1,28.110847,2.019362,4.758752326190067e-123,1.625985572047715e-121
117,Psma7,28.076097,1.7391251,2.1431679444054142e-116,5.065803134344578e-115
118,Pcbp1,28.053473,1.5383767,6.513937647659313e-112,1.2628988102287803e-110
119,Psmf1,28.023026,2.932864,4.387106323507147e-125,1.8023695145741863e-123
120,Pabpn1,28.005072,2.0317779,3.953430746835099e-124,1.5159210563697696e-122
121,Nasp,28.002714,2.1823862,7.996244807177622e-125,3.17184377351379e-123
122,Cox6b1,27.926855,1.7574786,3.6338138718920293e-116,8.416303135502948e-115
123,AK188353,27.865591,1.7277532,2.08644879520421e-116,4.96574813258602e-115
124,Ncl,27.863815,1.0548774,8.302686895117662e-108,1.4045378664240711e-106
125,Eif3i,27.857962,1.6752207,1.430901197079615e-115,3.248710546790625e-114
126,Pklr,27.831938,2.967873,6.575060708166304e-124,2.493465330096914e-122
127,Ankrd13a,27.818308,1.5414125,3.7472597591487164e-114,7.93361560050443e-113
128,Rrm2,27.794712,3.689898,2.109456684420537e-118,5.687292982761932e-117
129,Abcb4,27.791073,2.3714075,5.756833948497043e-125,2.3100969716585226e-123
130,Eif3c,27.790955,1.6251922,9.617979711837183e-115,2.0744779990968823e-113
131,Chchd10,27.740713,2.5253425,1.1439321962065024e-124,4.4860341012598185e-123
132,Anapc5,27.719471,1.841508,1.5208830631299058e-118,4.1327302762687445e-117
133,Uqcrfs1,27.712074,2.0917287,1.5787255121866395e-122,5.1887445167200884e-121
134,Mrpl20,27.708916,2.296092,8.544037722286738e-124,3.1704810945818856e-122
135,Rnaseh2c,27.678211,2.1507325,4.925654173382429e-123,1.6665129953277218e-121
136,Eif3b,27.63675,1.5840778,1.2012577511880896e-111,2.2777695051374162e-110
137,Gtf2f1,27.630465,2.4610002,6.836311630926446e-124,2.564359938948605e-122
138,Aplp2,27.611174,2.785022,4.114227967329067e-123,1.4341616884093545e-121
