,names,scores,logfoldchanges,pvals,pvals_adj
0,Fam132a,51.583694,3.0062866,1.4374180175276151e-202,9.921059156975599e-200
1,Rhd,46.115036,3.3399546,7.281161783379888e-234,1.2563644657221997e-230
2,Ctse,44.946434,3.675726,2.2721704858177023e-235,7.84126034655689e-232
3,Stard10,42.165447,3.061798,1.5904463702045752e-209,1.8295434745253297e-206
4,Cpox,40.36582,2.7509372,4.702211819656053e-183,2.0284166237041296e-180
5,Cd24a,40.06277,3.285349,9.495074396634216e-204,8.191875435696169e-201
6,Prdx2,39.51678,2.1647787,1.6437842528734463e-153,3.545437160416414e-151
7,Sphk1,39.4249,3.1490235,2.812226663813356e-197,1.6174990361366483e-194
8,Hmbs,38.17928,3.1753628,1.6753816965233657e-192,8.259631763860193e-190
9,Tmem14c,37.190956,2.1774683,2.579571003500159e-157,6.358642523627892e-155
10,Cldn13,35.64786,3.7874773,3.766811269115898e-169,1.2999265689718963e-166
11,Pla2g12a,35.449417,2.9109256,4.406621596049271e-173,1.689694569774004e-170
12,Blvrb,35.29951,2.0664976,1.1154121207543143e-139,1.603869678634641e-137
13,Glrx5,35.268513,2.2539198,6.675075087897446e-149,1.3550402428431815e-146
14,Ccne1,34.695446,3.9970243,5.514337317089215e-164,1.7299980073886257e-161
15,Erp29,34.09203,2.76382,6.864706402431217e-164,1.974175149565844e-161
16,Mt2,33.97096,2.5924447,7.294740752772452e-147,1.2587075168908866e-144
17,Fth1,33.88657,1.6261067,6.477273098476079e-131,5.73155627252332e-129
18,Lmna,33.715057,3.8083582,3.6348983364122506e-156,8.362689439305785e-154
19,Ubac1,33.40244,3.2742486,1.9073866067848832e-160,5.063377830780486e-158
20,Dut,32.996307,2.183335,4.1989524375749315e-142,6.900278505748138e-140
21,Car2,32.798798,1.5590658,2.2624052348560054e-121,1.239295311982234e-119
22,Phb2,32.26787,1.9254842,1.8983289831789632e-129,1.6377833302376505e-127
23,Klf1,31.976524,1.8679934,7.763465609584423e-127,5.581608295557468e-125
24,Alad,31.897722,2.2454243,1.4057658705781184e-137,1.672861385987961e-135
25,Ermap,31.869854,2.2622788,2.493221440779036e-135,2.607305209735895e-133
26,Add2,31.654982,3.355441,9.433403827934792e-148,1.767867281210576e-145
27,E2f4,31.631197,2.5932536,9.733259444509112e-148,1.767867281210576e-145
28,Ap1b1,31.219357,2.2544584,7.1501656732021e-139,9.490469899315555e-137
29,Ifrd2,30.974773,2.2644885,5.290316894885585e-137,6.085627868083386e-135
30,Cyc1,30.879011,2.1351714,3.985559531095127e-131,3.619517353107706e-129
31,Mcm5,30.794836,2.0521226,2.1753235847358874e-127,1.6682314868718994e-125
32,Cenp-a,30.76269,2.5817528,3.4538108509169177e-140,5.182217933267079e-138
33,Atp5g3,30.74109,1.8147374,7.226591526777047e-121,3.836764209062706e-119
34,Ftl1,30.671854,1.3025881,3.4682375758580016e-119,1.7098411248979948e-117
35,Cited4,30.669062,3.4894106,1.8653160550171295e-139,2.574882282345646e-137
36,Nudt9,30.339455,2.801397,4.910553205123247e-141,7.702872323127422e-139
37,Mthfd1,30.32099,2.1554713,6.077120127344061e-127,4.462157778609437e-125
38,Phf5a,30.24875,2.1412983,2.2351935863036226e-132,2.142681407314945e-130
39,Mdh2,30.098295,1.9196974,5.211591254333564e-124,3.393434229944364e-122
40,Cct7,30.084661,1.7336917,2.7738909297531057e-120,1.407749646849701e-118
41,Mns1,30.047108,2.1312892,9.769438052053654e-128,7.840542027357479e-126
42,Sod1,30.040913,1.5342633,1.7930588142727166e-113,7.112466629948442e-112
43,Slc29a1,30.040194,3.1079226,1.2704570083576446e-138,1.6238322725341598e-136
44,Ndufb9,29.883066,1.9178061,1.324222336343439e-121,7.370792391485819e-120
45,Ddx39,29.880806,2.530523,6.444458060264494e-137,7.174137021281539e-135
46,Mcm7,29.819798,2.0755947,6.223281111105054e-126,4.382967982535416e-124
47,Cox6a1,29.719833,1.6236124,7.166711386659048e-111,2.5497238139546774e-109
48,Hpn,29.671011,5.068946,2.5009748064967963e-121,1.3485725089406944e-119
49,Phf10,29.59943,2.778196,3.139119487918356e-136,3.3853441727519517e-134
50,Urod,29.526901,2.215298,1.21425749213918e-131,1.1325412446952189e-129
51,Isg20,29.4001,2.7298448,6.510089183304334e-135,6.607740521053899e-133
52,Bsg,29.345476,2.1294932,7.232205439467061e-128,5.942462136095435e-126
53,Ppp2r4,29.272526,1.9528991,1.0661572723570887e-120,5.491505592394497e-119
54,Nme1,29.253805,1.7848706,2.6830159918360174e-114,1.089304492685423e-112
55,Hars,29.210821,2.6082156,1.4013670856243288e-133,1.381747946425588e-131
56,Ppm1g,29.08283,2.0634139,1.0344832778647392e-124,6.86538806136772e-123
57,Ran,28.985254,1.9303145,3.5640988002447297e-119,1.7323528112175438e-117
58,Ank1,28.733946,3.414486,1.7157226808893924e-127,1.345672493579385e-125
59,Hemgn,28.648746,3.1365192,4.413094824231467e-128,3.714534204493364e-126
60,Eif3g,28.569187,1.78966,7.982836569626247e-116,3.3596059758268515e-114
61,Uqcr,28.562666,1.9776616,1.6383382454886534e-118,7.640412547542355e-117
62,Txn2,28.526268,1.928739,7.553309888184138e-121,3.9494655188065846e-119
63,Psmc3,28.38106,1.9711064,2.8599985366608848e-120,1.4304137608719874e-118
64,Pklr,28.368605,3.1432,4.867252104579221e-127,3.65149717671802e-125
65,Tomm6,28.295038,1.9249692,3.684409493095115e-119,1.7659579389821172e-117
66,Epn1,28.284363,2.2247612,7.183048882864656e-124,4.507036671775624e-122
67,Psmb4,28.164064,1.8699763,5.311689236712695e-116,2.275909222114833e-114
68,Necap2,28.089077,2.1257987,1.1981935325983578e-121,6.778632591798251e-120
69,Atp5b,28.044754,1.25498,5.3967288906739893e-104,1.3898590598295477e-102
70,Epor,28.019117,2.5375946,1.3483490475005128e-125,9.306305125848539e-124
71,Hspd1,27.963356,2.0505044,2.391523681821445e-118,1.1004197634621076e-116
72,Rps27l,27.930965,1.9341761,4.700020592115594e-115,1.9309251265941566e-113
73,Chchd10,27.911402,2.5841455,5.003648092324242e-125,3.3858018758060705e-123
74,Psmf1,27.89997,2.933522,5.685238531445827e-124,3.6332885503739904e-122
75,Eif4ebp1,27.876848,2.0094037,6.403892302196195e-118,2.87010809543884e-116
76,Pdap1,27.854462,2.235029,5.060540877976862e-122,2.9106544283163585e-120
77,Chchd2,27.80461,1.4366,5.9693533913933e-107,1.745782928279515e-105
78,Mrpl18,27.759287,2.0753644,1.2963556339762725e-118,6.1283880724001595e-117
79,Tspan33,27.742058,2.781827,1.1113544957732542e-123,6.848722080202679e-122
80,Slc25a3,27.73765,1.3663794,1.3829645067784304e-104,3.7579610337735147e-103
81,Tk1,27.735985,2.9520068,1.4720041067189439e-123,8.912081004012412e-122
82,Taldo1,27.698214,1.5212885,5.3856003736240766e-107,1.588521956356982e-105
83,Atp5a1,27.694056,1.4075614,5.5844657255289e-106,1.5668285543740028e-104
84,Mrpl20,27.6703,2.3398218,2.623345792749784e-122,1.53443497131856e-120
85,Tuba1b,27.62776,1.6692196,4.306962973155576e-103,1.0616663728828495e-101
86,Cdk4,27.626114,1.5932585,1.6627979479021769e-105,4.554218823976518e-104
87,Snrpb,27.576431,1.5880708,5.230125784682614e-106,1.4794396789294837e-104
88,Cox4i1,27.570566,1.3442603,2.1813748224533576e-103,5.455017762526476e-102
89,Tubb5,27.530375,1.5162607,9.346048722611809e-102,2.1502142761155568e-100
90,Cdca3,27.526127,2.789748,1.6502310042701637e-122,9.818874475407474e-121
91,Uqcrq,27.235828,1.8253438,2.9462956774464765e-111,1.0591319148820615e-109
92,C1qbp,27.189453,1.8270314,9.14011478590166e-111,3.1861147602168314e-109
93,Atp5d,27.163038,1.5451238,3.9755268828344594e-104,1.039359338838009e-102
94,Psma7,27.072853,1.7199087,2.399397679149762e-108,7.738618122192363e-107
