,names,scores,logfoldchanges,pvals,pvals_adj
0,Fth1,14.58675,1.1781198,1.813127594225559e-35,3.128551663836202e-32
1,Ybx1,14.33199,1.1564363,3.055973494450116e-36,1.0546164529347349e-32
2,Mt1,14.164954,1.7071475,4.451069249635247e-32,3.8401599951228095e-29
3,Chchd2,13.556318,1.2160584,1.3340997797276498e-30,7.673297233066866e-28
4,Car2,13.472408,1.1653302,1.5809261440149546e-30,7.793965889993726e-28
5,AK158095,13.359088,0.7506887,7.40379432688051e-33,8.51683140735488e-30
6,Car1,13.166335,1.0978239,7.471363910955357e-31,5.156735371341388e-28
7,Tuba1b,12.614839,1.470001,8.205127164698691e-27,2.8315893845375183e-24
8,Atpif1,12.336693,0.89008355,2.6132107440069595e-27,1.1272737846960022e-24
9,Mt2,12.333052,2.5274246,1.6107849738828325e-23,3.70587929657977e-21
10,Tubb5,12.294652,1.1672765,3.421003047899898e-27,1.3117646131447275e-24
11,Cct7,12.121795,1.3849251,4.310459531729243e-25,1.3523087130906925e-22
12,Mdh2,11.986256,1.6423411,3.5767674031290335e-24,1.0286186923498578e-21
13,Phb2,11.672655,1.5063236,1.5495317493764917e-23,3.70587929657977e-21
14,Cox6a1,11.492329,1.2909496,2.687561395033199e-23,5.7967339839122306e-21
15,Eef1g,11.284395,1.0226506,1.2541932975993349e-23,3.329400823088696e-21
16,Blvrb,11.125078,1.5687449,1.6319739373869443e-21,2.4486704599662368e-19
17,Nme1,11.097197,1.4764249,1.1107197220193235e-21,1.8252827431850882e-19
18,Ndufb9,11.069267,1.590195,2.4800907643363334e-21,3.566163844885286e-19
19,Ftl1,10.9810915,0.80612737,5.885292063347301e-23,1.1947142888595021e-20
20,Csda,10.973551,1.110214,2.323597222677432e-22,4.009367007729909e-20
21,Rps3,10.937438,0.41313466,2.1142823705100888e-22,3.8402044529633243e-20
22,Hint1,10.879707,1.239404,1.2616361462648321e-21,1.9790483367090618e-19
23,Prdx2,10.827003,1.5092747,1.487251699412077e-20,1.8330377195253848e-18
24,Hsp90ab1,10.713307,0.5221325,1.0390568297099402e-22,1.992102844071669e-20
25,Atp5b,10.626849,0.8965925,3.3548924214882216e-21,4.631093498622341e-19
26,Pa2g4,10.593167,1.3081386,8.347908097870661e-21,1.0669863276204315e-18
27,Atp5d,10.475613,1.1104559,5.393457842635433e-21,7.158778082667261e-19
28,Atp5g3,10.409294,1.4421521,1.9397527381053675e-19,2.091902093500507e-17
29,Mthfd1,10.407565,1.7920258,2.789434162258054e-19,2.7503820839864414e-17
30,Fkbp4,10.391162,1.2789724,6.940285347943183e-20,7.983641578583975e-18
31,Gnb2l1,10.310648,0.390849,1.9087042298675166e-20,2.2713580335423447e-18
32,Taldo1,10.181993,1.1074008,9.873987910830213e-20,1.0991978154927439e-17
33,Fam132a,10.115712,2.1475842,8.619710953281811e-18,6.466657065168593e-16
34,Tomm6,10.070544,1.6215491,3.529752288964727e-18,3.2055724076887554e-16
35,Slc25a5,10.068075,1.080091,2.2743659219612254e-19,2.308481410790644e-17
36,Cox8a,9.988638,1.2401657,7.870390183029336e-19,7.544643478231733e-17
37,Cdk4,9.937033,1.2008995,9.486280080121468e-19,8.847879069324105e-17
38,Cyc1,9.931845,1.7610765,8.495577352554534e-18,6.466657065168593e-16
39,Sdhb,9.927579,1.4735395,3.748308692830058e-18,3.2790364432417576e-16
40,Gpx1,9.879092,0.56219655,2.1877375000670527e-19,2.2878430644640603e-17
41,Sod1,9.783709,1.0943246,3.800679737168076e-18,3.2790364432417576e-16
42,Eif3k,9.695027,1.173457,5.183369906634229e-18,4.3628803775109087e-16
43,Pcbp1,9.611898,1.1108145,5.994506879667923e-18,4.810940288775349e-16
44,Atp5a1,9.546972,0.97907573,1.1058658724342864e-17,8.053459577633159e-16
45,Gm10653,9.498196,0.6379065,7.984236853077792e-18,6.262182131811695e-16
46,hnRNP A2/B1,9.48217,0.8724152,5.8267420883234364e-18,4.78763974923909e-16
47,Uqcr,9.429804,1.6119586,1.323583048362577e-16,8.618273773394818e-15
48,Cox6b1,9.385455,1.3815192,9.045904564341257e-17,6.003349356065707e-15
49,Ldha,9.378849,0.9598867,1.1201566494534674e-17,8.053459577633159e-16
50,Aqp1,9.246261,1.3858367,2.285974399302766e-16,1.460906972591453e-14
51,Rps8,9.222743,0.7600181,5.1456034475348994e-17,3.623974999478151e-15
52,Rpl4,9.220658,0.4059176,5.425922625106177e-17,3.6715409763218464e-15
53,Ncl,9.193327,0.66927063,5.340878344373126e-17,3.6715409763218464e-15
54,Dut,9.081472,1.6351396,1.3156782424914695e-15,7.965623885680809e-14
55,Nolc1,8.995473,1.2840363,5.46340738559324e-16,3.4280397977604136e-14
56,Hspd1,8.977589,1.5628346,1.3672729858086113e-15,8.135274265561238e-14
57,Alad,8.927009,1.6861101,2.5583100447735665e-15,1.4963945702565385e-13
58,Mcm7,8.862155,1.591692,3.756736321514627e-15,2.0910479105720932e-13
59,C1qbp,8.765494,1.3886013,4.264176461816369e-15,2.3358211063060777e-13
60,Eif4ebp1,8.726339,1.5724196,7.8694136284436e-15,4.1147494593574034e-13
61,Rps20,8.710167,0.5633743,8.3078361773443625e-16,5.119704044288463e-14
62,Hspa8,8.702709,0.96262246,2.8383596259106542e-15,1.632529844836278e-13
63,Srm,8.675032,1.2123554,4.638010686022645e-15,2.500902324603773e-13
64,Cfl1,8.668864,0.9361545,3.460711795498738e-15,1.9578551485682205e-13
65,Txn2,8.60719,1.4278046,1.2968083812709051e-14,6.679530930993872e-13
66,Ccdc23,8.601506,2.004744,3.452854145098795e-14,1.6323013225665673e-12
67,Cox4i1,8.587715,0.9303799,7.231277242685456e-15,3.839251963770386e-13
68,Psmc3,8.4891405,1.44495,2.496930015994272e-14,1.230986497885176e-12
69,Eif3i,8.429308,1.1773596,2.183943081416636e-14,1.0922880541983783e-12
70,Glrx5,8.426895,1.5286899,4.3369843104856444e-14,1.9553489944980748e-12
71,Sphk1,8.415209,2.591461,1.7987026941370268e-13,7.46062378209324e-12
72,Psma7,8.387221,1.2887274,4.106783420941795e-14,1.915203998063532e-12
73,Klf1,8.352408,1.2270539,4.362847655066698e-14,1.9553489944980748e-12
74,Gnas,8.34167,0.81897837,2.8229186275514235e-14,1.3530405810666615e-12
75,Chchd10,8.328695,2.170875,1.81597333438375e-13,7.46062378209324e-12
76,Rps21,8.3154545,0.7640872,2.611247356273512e-14,1.2692133276760409e-12
77,Eif3b,8.288879,1.0927566,4.35739915697454e-14,1.9553489944980748e-12
78,Banf1,8.272544,1.2184819,5.577643759442724e-14,2.4677498222867742e-12
79,Cad,8.251426,1.6494707,1.577177328878578e-13,6.637608490195089e-12
80,Actb,8.215668,0.3553043,1.923050293871324e-14,9.75948024139697e-13
