,names,scores,logfoldchanges,pvals,pvals_adj
0,Cpox,10.3526325,1.2922723,3.9866045844716774e-19,2.751554484202352e-16
1,Actb,10.171503,0.3390641,1.6667094067555014e-18,8.216877375304622e-16
2,Eif4g2,10.132915,1.4341816,1.8215360464705044e-19,1.5715302240924276e-16
3,Zfp106,10.084859,1.6801155,9.151342901852095e-20,1.5715302240924276e-16
4,Eif5,10.06505,2.020899,5.2929547565174324e-20,1.5715302240924276e-16
5,Ybx1,9.957671,0.4921705,1.2287644507813767e-18,7.067443532744218e-16
6,Ssrp1,9.956805,1.2164279,2.7404875091894516e-18,1.1821777992765996e-15
7,Ncl,9.753275,0.5064403,5.83878597939748e-17,1.2593531509312938e-14
8,Itgb1,9.74329,2.1534305,1.646006574763575e-19,1.5715302240924276e-16
9,Cct6a,9.700978,1.060018,3.241341874765634e-17,7.457247206544135e-15
10,Bat2d,9.663399,1.3510169,3.2360463262199422e-18,1.2408439857538912e-15
11,Hsp90ab1,9.603653,0.35309982,8.074973605792731e-18,2.401703476915436e-15
12,Lyar,9.593669,1.2985445,8.351330548532377e-18,2.401703476915436e-15
13,Fam132a,9.49083,1.0234417,1.2762009911862508e-16,2.0972236288494056e-14
14,Gnb2l1,9.446348,0.2701432,2.1022387091746016e-16,3.154272080591978e-14
15,AK158095,9.443501,0.3336357,7.406699270962957e-17,1.5035599520054802e-14
16,Sf3b1,9.326288,1.5914159,1.630771948969999e-17,4.019852854211048e-15
17,Ddx21,9.311203,1.1071194,2.3072690068743673e-16,3.3176605594681004e-14
18,Aggf1,9.301236,2.0381203,4.45409187312423e-18,1.5371071054151716e-15
19,Abcf1,9.210276,0.98209673,1.711779060951093e-16,2.6851588815191916e-14
20,Cs,9.143289,1.4208624,7.875015922621595e-17,1.5098155527203957e-14
21,Lmna,9.137807,1.9864947,1.5485537167045295e-17,4.019852854211048e-15
22,Rhd,9.084953,1.2296466,3.178368085065963e-16,4.218672408293322e-14
23,Fth1,9.0748,0.4461453,1.3780785995150185e-15,1.4861716396644777e-13
24,Supt16h,8.990223,1.7132479,8.759101270254549e-17,1.590929393876234e-14
25,Ermap,8.892757,1.0544114,1.6075208751132126e-15,1.6240405290804526e-13
26,Mcm3,8.89195,1.8649713,1.0670752244657334e-16,1.8412382998156228e-14
27,Atp5a1,8.889822,0.6088163,4.684476096883956e-15,3.7595644210108215e-13
28,Mthfd1,8.8802185,0.84503645,2.256792886428281e-15,2.056135289642825e-13
29,Csda,8.838685,0.5710717,6.197660801024668e-15,4.4558598800700267e-13
30,Cbx5,8.833774,1.7686303,2.47701408247184e-16,3.419270239444128e-14
31,Pabpn1,8.821979,0.95501095,2.3397007957045234e-15,2.0703352425580283e-13
32,Rangap1,8.796037,1.2284166,1.6085181666893264e-15,1.6240405290804526e-13
33,Ddx24,8.791812,1.1878631,1.7605996605353324e-15,1.68773039680762e-13
34,Nolc1,8.789382,0.77329326,3.972691539793446e-15,3.343843537518825e-13
35,Car2,8.705475,0.48228326,2.2066229467432848e-14,1.326357845945344e-12
36,Tmem14c,8.702508,0.97767705,1.0271738083785338e-14,6.68825813719683e-13
37,Smarcc1,8.69727,1.3974389,1.1863090581300963e-15,1.3206298579377295e-13
38,Hars,8.693927,1.4025401,1.6470999280734813e-15,1.6240405290804526e-13
39,Prpf8,8.688755,1.0122775,4.549303671314495e-15,3.7380111832634097e-13
40,Nop58,8.673839,1.1097505,5.012019861805646e-15,3.808756974706957e-13
